asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B09V27PYDY,"Toddler Boys' Relaxed Organic Cotton Short Sleeve Henley (Previously Amazon Aware), Pack of 2, Grey Heather, 2T",https://m.media-amazon.com/images/I/814ybikw6HL._AC_UL320_.jpg,https://www.amazon.com/dp/B09V27PYDY,5.0,1,19.92,24.9,84,False,0
B09Y82LCW5,"Auto Darkening Welding Helmet, SU SAFE-UP Welding Helmet Solar Powered Welding Hood, 2 Arc Sensor Shade Range 4/9-13 for Mig Tig Arc Welding Mask (Beautiful Girl)",https://m.media-amazon.com/images/I/81YGtSRD9cL._AC_UL320_.jpg,https://www.amazon.com/dp/B09Y82LCW5,4.0,52,35.99,0.0,17,False,0
B000WDU4VU,Professional Mobile Receipt and Document Scanner and Software Combination Version 3.0,https://m.media-amazon.com/images/I/91jQgFDC-fL._AC_UL320_.jpg,https://www.amazon.com/dp/B000WDU4VU,3.4,0,110.0,0.0,81,False,0
B07KKMFGQF,"Same for Dogs - S-Adenosyl-L-Methionine, Liver Supplements for Dogs - Brain Supplement for Dogs, Promotes Cognitive Support, Dog Liver Support Supplement",https://m.media-amazon.com/images/I/619lC8kt4sL._AC_UL320_.jpg,https://www.amazon.com/dp/B07KKMFGQF,4.5,0,34.9,0.0,180,False,1000
B0CGHVKKYB,Large-Capacity Travel Leather Makeup Bag Cosmetic Bag Waterproof Portable Makeup Case Organizer Toiletry Bag Makeup Box for Skincare Cosmetics Toiletries with Handle and Divider Pink,https://m.media-amazon.com/images/I/51m-NpeAnSL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CGHVKKYB,2.1,0,20.99,0.0,105,False,0
B08DL6GZ9R,Sweet Jojo Designs Pink Floral Rose Girl Baby Nursery Changing Pad Cover - Solid Light Blush Flower Luxurious Elegant Princess Vintage Boho Shabby Chic Luxury Glam High End Roses,https://m.media-amazon.com/images/I/71-Gh9XmNJL._AC_UL320_.jpg,https://www.amazon.com/dp/B08DL6GZ9R,5.0,0,36.99,0.0,29,False,0
B0B2X1RL62,"Kyocera PA2000w Monochrome Laser Printer, 21 ppm, Standard Wireless & USB 2.0, 600dpi, LED Display, 150 Sheet Paper Capacity & Output Tray up to 50 Sheets, and 32MB Memory",https://m.media-amazon.com/images/I/71TZP8emAYL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B2X1RL62,3.7,20,109.0,0.0,72,False,0
B00PVDQ37A,"D-Link DWM-222 4G LTE Class 3 USB Adapter with Integrated Antenna for Windows XP/Vista/7/8, Mac OS X 10.5 - Black",https://m.media-amazon.com/images/I/51L9G2xM+5L._AC_UL320_.jpg,https://www.amazon.com/dp/B00PVDQ37A,3.5,0,63.12,0.0,60,False,0
B0B6CW4X5V,Women's MK1 Resin 29mm Watch – Blue Dial Case & Fabric Slip-Thru Strap,https://m.media-amazon.com/images/I/61r516rJStL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B6CW4X5V,0.0,0,69.0,0.0,121,False,0
B08D6VTBV8,"Yankee Candle Oil, Sleep Diffuser Refill, Blue, 4 Fl Oz",https://m.media-amazon.com/images/I/81hy6VRQELL._AC_UL320_.jpg,https://www.amazon.com/dp/B08D6VTBV8,4.3,469,9.34,10.49,128,False,100
B088BP1TYQ,"Accessonico 2 Pack Replacement DC Charging Cable Set Compatible with Tracys Dog,Compatible with Paloqueth,Compatible with lovesense,Beauty Instrument USB Charger Cords 2.5mm",https://m.media-amazon.com/images/I/31511ug0IRL._AC_UL320_.jpg,https://www.amazon.com/dp/B088BP1TYQ,4.7,566,5.97,0.0,69,False,0
B07575RFLP,I-BEAM IMPACT PLA Natural 3D Printer Filament 1.75 mm/1kg Spool,https://m.media-amazon.com/images/I/81vCUR5en9L._AC_UL320_.jpg,https://www.amazon.com/dp/B07575RFLP,0.0,0,44.5,0.0,157,False,0
B0BCJ226FG,"Jakoo M.2 Hard Drive, Easy Installation Small and Reliable Plug and Play M.2 SSD for Your Computer 16GB",https://m.media-amazon.com/images/I/71awuLlpIUL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BCJ226FG,0.0,0,8.06,0.0,55,False,0
B09FXJSX6Y,"TiMOVO Replacement Charger Cable Compatible with SW021/SW01/SW023/SW025/ID216/ID205L/ID205S/Uwatch 3/Uwatch GT, 2pcs 3.3ft Magnetic USB Charging Cable Cord, Smartwatch Charging Dock Cables,Black",https://m.media-amazon.com/images/I/61+EXEjNXnS._AC_UL320_.jpg,https://www.amazon.com/dp/B09FXJSX6Y,4.0,36,6.99,0.0,68,False,0
B086L5MDLJ,Men Linen Flat Ivy Breathable Summer Newsboy Hat,https://m.media-amazon.com/images/I/81XpSKQeE8L._AC_UL320_.jpg,https://www.amazon.com/dp/B086L5MDLJ,4.2,1290,14.99,16.99,112,False,0
B09T24ZKM7,Satco 60 Watt 120 V T9 Incandescent Light Bulb 2700K Warm White 10 Pack,https://m.media-amazon.com/images/I/61Q0sMMkisL._AC_UL320_.jpg,https://www.amazon.com/dp/B09T24ZKM7,0.0,0,49.99,59.99,206,False,0
B07PPNTXB6,Bird Necklace Birds on a Branch Necklace Three Little Birds Inspired Love Bird Jewelry,https://m.media-amazon.com/images/I/51e8yMHZ0HL._AC_UL320_.jpg,https://www.amazon.com/dp/B07PPNTXB6,4.6,31,13.99,0.0,95,False,0
B0CGHC7YS5,"Hidden Camera Detectors Anti Spy Detector Hidden Devices Spy Camera Bug Detector, Privacy Protector, GPS Tracker Detector Wireless Signa Anti-Sneak Anti-Monitoring Scan Tracker Detector",https://m.media-amazon.com/images/I/61+OhEdJpeL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CGHC7YS5,5.0,0,24.99,0.0,80,False,0
B0CB3SP5HS,"Face Lift Tape, Face Tape Lifting Invisible, Face Tapes for Lifting Sagging Skin Hide Double Chin Smooth Wrinkles Face, Instant Face Lift V-shaped Face, Facial Tape Lift Waterproof (60 PCS)",https://m.media-amazon.com/images/I/51jrbCllu5L._AC_UL320_.jpg,https://www.amazon.com/dp/B0CB3SP5HS,4.3,0,9.97,11.99,49,False,1000
